1458,44.045431,1
1369,42.296572,1
1256,41.436699,1
1318,41.677332,1
1103,38.327536,1
1179,40.261644,1
1301,41.593269,1
1404,43.737855,1
1132,38.327536,1
1310,41.303753,1
1267,40.853396,1
1352,42.755117,1
1229,41.400483,1
1144,39.849718,1
1155,39.204592,1
1198,39.560081,1
1495,44.922155,1
1492,44.553339,1
1106,38.275318,1
1136,39.000000,1
1568,56.885851,2
1661,56.293872,2
1591,56.859476,2
1409,53.150729,2
1565,54.589376,2
1461,52.497619,2
1615,57.384667,2
1573,55.803226,2
1450,53.235327,2
1520,54.203321,2
1519,54.918121,2
1558,56.462377,2
1489,54.129474,2
1478,53.488316,2
1368,49.365980,2
1552,57.428216,2
1428,52.630789,2
1348,51.264022,2
1553,57.314920,2
1369,51.312766,2
1435,42.953463,3
1212,39.623226,3
1297,41.593269,3
1196,39.698866,3
1253,40.447497,3
1320,41.593269,3
1174,40.607881,3
1226,40.162171,3
1375,43.266615,3
1467,44.777226,3
1329,52.952809,4
1435,53.160135,4
1450,55.000000,4
1338,50.009999,4
1405,50.921508,4
1524,54.561891,4
1527,54.405882,4
1475,54.230987,4
1514,55.578773,4
1556,54.037024,4
