1458,44.045431,lentilha
1369,42.296572,lentilha
1256,41.436699,lentilha
1318,41.677332,lentilha
1103,38.327536,lentilha
1179,40.261644,lentilha
1301,41.593269,lentilha
1404,43.737855,lentilha
1132,38.327536,lentilha
1310,41.303753,lentilha
1267,40.853396,lentilha
1352,42.755117,lentilha
1229,41.400483,lentilha
1144,39.849718,lentilha
1155,39.204592,lentilha
1198,39.560081,lentilha
1495,44.922155,lentilha
1492,44.553339,lentilha
1106,38.275318,lentilha
1136,39.000000,lentilha
1435,42.953463,lentilha
1212,39.623226,lentilha
1297,41.593269,lentilha
1196,39.698866,lentilha
1253,40.447497,lentilha
1320,41.593269,lentilha
1174,40.607881,lentilha
1226,40.162171,lentilha
1375,43.266615,lentilha
1467,44.777226,lentilha
1568,56.885851,melancia
1661,56.293872,melancia
1591,56.859476,melancia
1409,53.150729,melancia
1565,54.589376,melancia
1461,52.497619,melancia
1615,57.384667,melancia
1573,55.803226,melancia
1450,53.235327,melancia
1520,54.203321,melancia
1519,54.918121,melancia
1558,56.462377,melancia
1489,54.129474,melancia
1478,53.488316,melancia
1368,49.365980,melancia
1552,57.428216,melancia
1428,52.630789,melancia
1348,51.264022,melancia
1553,57.314920,melancia
1369,51.312766,melancia
1329,52.952809,melancia
1435,53.160135,melancia
1450,55.000000,melancia
1338,50.009999,melancia
1405,50.921508,melancia
1524,54.561891,melancia
1527,54.405882,melancia
1475,54.230987,melancia
1514,55.578773,melancia
1556,54.037024,melancia
